,x,y
0,0.01,0.2730414493557216
1,0.0108,0.2724767211216289
2,0.0116,0.2718944027247186
3,0.0124,0.2712946392490056
4,0.0132,0.2706775784002893
5,0.014,0.2700433704313325
6,0.0148,0.2693921680664928
7,0.0156,0.2687241264258622
8,0.0164,0.2680394029489916
9,0.0172,0.267338157318252
10,0.018,0.266620551381904
11,0.0188,0.2658867490769356
12,0.0196,0.2651369163517372
13,0.0204,0.2643712210886579
14,0.0212,0.2635898330265258
15,0.022,0.2627929236831721
16,0.0228,0.2619806662780317
17,0.0236,0.2611532356548666
18,0.0244,0.2603108082046734
19,0.0252,0.2594535617888301
20,0.026,0.2585816756625285
21,0.0268,0.2576953303985565
22,0.0276,0.2567947078114663
23,0.0284,0.2558799908821889
24,0.0292,0.2549513636831384
25,0.03,0.2540090113038488
26,0.0308,0.2530531197771952
27,0.0316,0.2520838760062376
28,0.0324,0.2511014676917289
29,0.0332,0.2501060832603305
30,0.034,0.2490979117935701
31,0.0348,0.2480771429575805
32,0.0356,0.2470439669336583
33,0.0364,0.245998574349666
34,0.0372,0.2449411562123216
35,0.038,0.2438719038404022
36,0.0388,0.2427910087988807
37,0.0396,0.241698662834044
38,0.0404,0.2405950578095947
39,0.0412,0.2394803856437819
40,0.042,0.2383548382475671
41,0.0428,0.2372186074638562
42,0.0436,0.2360718850078156
43,0.0444,0.2349148624082873
44,0.0452,0.2337477309503246
45,0.046,0.2325706816188579
46,0.0468,0.2313839050435111
47,0.0476,0.2301875914445741
48,0.0484,0.2289819305801512
49,0.0492,0.2277671116944837
