,x,y
0,0.01,0.3796282307411882
1,0.0108,0.3792787863979656
2,0.0116,0.379008438013048
3,0.0124,0.3786453982685567
4,0.0132,0.3783220512984819
5,0.014,0.3780348867259387
6,0.0148,0.3776981100795746
7,0.0156,0.3773143345119574
8,0.0164,0.3769683577975299
9,0.0172,0.3766584880376544
10,0.018,0.3762999646959903
11,0.0188,0.3758937006541727
12,0.0196,0.3755255535203395
13,0.0204,0.3751518967915272
14,0.0212,0.3748155688422065
15,0.022,0.3744304005809069
16,0.0228,0.3740399918018329
17,0.0236,0.3736443625222498
18,0.0244,0.3732435338023201
19,0.0252,0.372837527674916
20,0.026,0.3724263671003622
21,0.0268,0.3720100759441647
22,0.0276,0.371588678976519
23,0.0284,0.3711184938849447
24,0.0292,0.3706860002547136
25,0.03,0.3702482874730781
26,0.0308,0.3698499471591328
27,0.0316,0.3693597725492006
28,0.0324,0.3689065381085066
29,0.0332,0.3684930227303618
30,0.034,0.367987017144004
31,0.0348,0.3675631262948933
32,0.0356,0.3670470175207609
33,0.0364,0.3665704522575368
34,0.0372,0.3661309854739469
35,0.038,0.3656433846060409
36,0.0388,0.3651082992619563
37,0.0396,0.3646115268259216
38,0.0404,0.3641097445623569
39,0.0412,0.3636029738067466
40,0.042,0.3631351043054537
41,0.0428,0.3626195459630468
42,0.0436,0.3620546538824745
43,0.0444,0.3615730437648152
44,0.0452,0.3610422329990348
45,0.046,0.3605069929402616
46,0.0468,0.3599673354326112
47,0.0476,0.359423281419666
48,0.0484,0.3588311139908255
49,0.0492,0.3583207096345385
