x,y,,,,diff,0.5315382993521
0,1.1769447022192,,,,RI,0.066313213298204
0.005,1.21125411830981,0.001177136032479,,,,
0.01,1.22939537861844,0.000329105325585,,,,
0.015,1.237966170132,7.3458467168912E-05,,,,
0.02,1.24176785031933,1.44527722467371E-05,,,,
0.025,1.24426676658728,6.2445825142255E-06,,,,
0.03,1.24365739512607,3.71333577737327E-07,,,,
0.035,1.24253107100896,1.26860601678312E-06,,,,
0.04,1.24693589793145,1.94025002170918E-05,,,,
0.045,1.25258172402456,3.18753522736422E-05,,,,
0.05,1.25681077064055,1.78848352802164E-05,,,,
0.055,1.25894671467084,4.56225690053122E-06,,,,
0.06,1.2606383616468,2.8616694912747E-06,,,,
0.065,1.26773403119598,5.03485263511596E-05,,,,
0.07,1.27461078354302,4.72897228425216E-05,,,,
0.075,1.27841014543401,1.44351507787067E-05,,,,
0.08,1.27995566847169,2.3886414599995E-06,,,,
0.085,1.28169553947964,3.02715112430545E-06,,,,
0.09,1.2853757516767,1.35439618153879E-05,,,,
0.095,1.28880992708834,1.1793560757913E-05,,,,
0.1,1.29909502985574,0.000105783338936,,,,
0.105,1.31115307569858,0.000145396469548,,,,
0.11,1.31933290834022,6.69096620452431E-05,,,,
0.115,1.3214861617588,4.63650028462633E-06,,,,
0.12,1.32341332382205,3.71395361802978E-06,,,,
0.125,1.31740526357965,3.60967878763072E-05,,,,
0.13,1.31103001209852,4.06438314476495E-05,,,,
0.135,1.30718537758484,1.47812145437812E-05,,,,
0.14,1.30502144506088,4.68260396825079E-06,,,,
0.145,1.30388022258709,1.30238873468363E-06,,,,
0.15,1.30754152231392,1.3405115689685E-05,,,,
0.155,1.3111272713057,1.2857595832052E-05,,,,
0.16,1.316880787264,3.31029458824126E-05,,,,
0.165,1.32317211560183,3.9580812254381E-05,,,,
0.17,1.32877670301577,3.14114000804958E-05,,,,
0.175,1.33333870575912,2.08118690303324E-05,,,,
0.18,1.33785880903877,2.04313336587029E-05,,,,
0.185,1.33416288860825,1.36598278287353E-05,,,,
0.19,1.33031300960121,1.48215683688476E-05,,,,
0.195,1.33695111543872,4.40644491099845E-05,,,,
0.2,1.35077638365304,0.000191138041198,,,,
0.205,1.36193850727977,0.000124593003858,,,,
0.21,1.36188419628504,2.94968414855849E-09,,,,
0.215,1.36174910645803,1.82492613616049E-08,,,,
0.22,1.359820979515,3.71767350843828E-06,,,,
0.225,1.35736891640867,6.01261347742502E-06,,,,
0.23,1.34952749698074,6.14878586447169E-05,,,,
0.235,1.33353207897039,0.000255853397326,,,,
0.24,1.31740002770404,0.00026024307806,,,,
0.245,1.32340914271403,3.6109463203286E-05,,,,
0.25,1.32947961209179,3.6850598466322E-05,,,,
0.255,1.33914368652935,9.33943347347008E-05,,,,
0.26,1.35127836467499,0.000147250413698,,,,
0.265,1.35908080209638,6.08780297147084E-05,,,,
0.27,1.34897210997145,0.000102185656477,,,,
0.275,1.33877934691808,0.000103892418662,,,,
0.28,1.337166841133,2.60017490691643E-06,,,,
0.285,1.33772433765278,3.10802369566922E-07,,,,
0.29,1.33875303066771,1.0582093189656E-06,,,,
0.295,1.34051003489721,3.08706386248121E-06,,,,
0.3,1.34225915126282,3.05940806044409E-06,,,,
0.305,1.35923928827865,0.000288325053076,,,,
0.31,1.37638143665737,0.000293853251038,,,,
0.315,1.38249819098113,3.74146834572355E-05,,,,
0.32,1.38110030949326,1.95407265412999E-06,,,,
0.325,1.37762463212918,1.20803331391769E-05,,,,
0.33,1.36577863175265,0.000140327724921,,,,
0.335,1.35387918718338,0.000141596781057,,,,
0.34,1.34911468155221,2.2700513909451E-05,,,,
0.345,1.34615214276481,8.77663606684909E-06,,,,
0.35,1.34361132317406,6.4557641927386E-06,,,,
0.355,1.34172402264533,3.5619032857449E-06,,,,
0.36,1.33982385689515,3.61062987815727E-06,,,,
0.365,1.34000184726299,3.16805710438374E-08,,,,
0.37,1.3401805903404,3.19490877220185E-08,,,,
0.375,1.34022135220787,1.66152983964515E-09,,,,
0.38,1.34016715092516,2.93777904741515E-09,,,,
0.385,1.34165073788881,2.20103027871232E-06,,,,
0.39,1.34944087535424,6.06862417302945E-05,,,,
0.395,1.35726017751524,6.11414862850196E-05,,,,
0.4,1.35407806180297,1.01258604062756E-05,,,,
0.405,1.34807078042718,3.60874295279119E-05,,,,
0.41,1.34398467853018,1.66962287126687E-05,,,,
0.415,1.34283371706664,1.32471229055386E-06,,,,
0.42,1.34167691840161,1.3381831514153E-06,,,,
0.425,1.33631278610982,2.87739152438231E-05,,,,
0.43,1.33092644631369,2.90126563993739E-05,,,,
0.435,1.32894920354447,3.90948896843348E-06,,,,
0.44,1.32927999436664,1.09422568031994E-07,,,,
0.445,1.32815991674413,1.25457388044762E-06,,,,
0.45,1.32110663037757,4.97488485687011E-05,,,,
0.455,1.31405269457597,4.97580102930937E-05,,,,
0.46,1.3022677431555,0.000138885079983,,,,
0.465,1.28929546093908,0.000168280105902,,,,
0.47,1.27993961931027,8.75317725833738E-05,,,,
0.475,1.27605916922056,1.5057892898729E-05,,,,
0.48,1.27218268196039,1.50271534782602E-05,,,,
0.485,1.27001279227015,4.7084212678099E-06,,,,
0.49,1.26785119208828,4.67251534626068E-06,,,,
0.495,1.26849557499845,4.15229334919007E-07,,,,
0.5,1.27104116790964,6.48004326950162E-06,,,,
0.505,1.27339077275449,5.5206429269422E-06,,,,
0.51,1.27493307699137,2.3787023590982E-06,,,,
0.515,1.27647609373456,2.38090066976473E-06,,,,
0.52,1.28028765703344,1.45280147813689E-05,,,,
0.525,1.28468563553538,1.93422149035256E-05,,,,
0.53,1.28111135071928,1.2775511946603E-05,,,,
0.535,1.26539189961157,0.000247101143128,,,,
0.54,1.24972690455758,0.000245392070042,,,,
0.545,1.23828481636923,0.00013092138211,,,,
0.55,1.22690003791027,0.00012961318056,,,,
0.555,1.22554151524939,1.84558382012415E-06,,,,
0.56,1.23096969703328,2.94651574789545E-05,,,,
0.565,1.23583800271774,2.37004002373461E-05,,,,
0.57,1.23840299581325,6.57918958001428E-06,,,,
0.575,1.24096725256604,6.57541269422875E-06,,,,
0.58,1.24102611428527,3.46470199069528E-09,,,,
0.585,1.24044078431043,3.42611179446142E-07,,,,
0.59,1.2414764306309,1.07256330110336E-06,,,,
0.595,1.24499229721106,1.2361317809486E-05,,,,
0.6,1.24850993612954,1.23737835608044E-05,,,,
0.605,1.25847949027578,9.93920098748092E-05,,,,
0.61,1.26850354331362,0.000100481639305,,,,
0.615,1.27184027032085,1.11337471207779E-05,,,,
0.62,1.27061418866926,1.50327621636592E-06,,,,
0.625,1.27025399161142,1.29741920476565E-07,,,,
0.63,1.27347271848627,1.03602026948818E-05,,,,
0.635,1.27669610250762,1.03902045490947E-05,,,,
0.64,1.27290324476413,1.43857698623523E-05,,,,
0.645,1.26730114492911,3.13835225615301E-05,,,,
0.65,1.26408251808255,1.03595587773978E-05,,,,
0.655,1.26451400429634,1.86180352690801E-07,,,,
0.66,1.26494587784641,1.86514763250175E-07,,,,
0.665,1.26033258227832,2.12824959985587E-05,,,,
0.67,1.25569530575925,2.15043335143188E-05,,,,
0.675,1.25751662664961,3.31720978566223E-06,,,,
0.68,1.26374755082802,3.88244161170941E-05,,,,
0.685,1.26697970113976,1.04467956376814E-05,,,,
0.69,1.25775979473374,8.50066741357706E-05,,,,
0.695,1.24855421975746,8.47426106439134E-05,,,,
0.7,1.24445879866614,1.67724739152287E-05,,,,
0.705,1.24168485909878,7.69474072336567E-06,,,,
0.71,1.23578897730433,3.47614221341256E-05,,,,
0.715,1.22511525525037,0.000113928342485,,,,
0.72,1.21447263422469,0.000113265382296,,,,
0.725,1.20497570122544,9.01917363922441E-05,,,,
0.73,1.19551565267132,8.94925186463095E-05,,,,
0.735,1.18820438028861,5.34547038541781E-05,,,,
0.74,1.18235784821944,3.41819372358315E-05,,,,
0.745,1.1795583413947,7.8372384617668E-06,,,,
0.75,1.18935775410925,9.60284895500838E-05,,,,
0.755,1.19916461553057,9.61745309369752E-05,,,,
0.76,1.19473049483833,1.96614263133512E-05,,,,
0.765,1.18661910672398,6.5794617141618E-05,,,,
0.77,1.18133193283589,2.79542077229004E-05,,,,
0.775,1.18036207050492,9.40632941034488E-07,,,,
0.78,1.17939241465809,9.40232461291514E-07,,,,
0.785,1.18616943950079,4.5928065718572E-05,,,,
0.79,1.19299823577888,4.66324586076554E-05,,,,
0.795,1.19015361137386,8.09188800563527E-06,,,,
0.8,1.18070712394291,8.92361247830942E-05,,,,
0.805,1.17208646249942,7.4315803723276E-05,,,,
0.81,1.16680477927878,2.78961776431894E-05,,,,
0.815,1.16153536198361,2.77667586306385E-05,,,,
0.82,1.15999012135775,2.38776859180831E-06,,,,
0.825,1.1594117122732,3.34557069089946E-07,,,,
0.83,1.15577646164499,1.32150471299013E-05,,,,
0.835,1.14744686751293,6.93821384048488E-05,,,,
0.84,1.13914549781801,6.89127388117345E-05,,,,
0.845,1.13294338298499,3.8466228401967E-05,,,,
0.85,1.12677399149072,3.80613914095708E-05,,,,
0.855,1.11951235799012,5.27313210970353E-05,,,,
0.86,1.11151671951472,6.39302346292981E-05,,,,
0.865,1.10567785613106,3.40923256130444E-05,,,,
0.87,1.10872931082537,9.3113757514259E-06,,,,
0.875,1.11177239900245,9.26038565348401E-06,,,,
0.88,1.11354580717811,3.1449765574976E-06,,,,
0.885,1.11498451129803,2.06986954467471E-06,,,,
0.89,1.11485364487353,1.71260210613846E-08,,,,
0.895,1.11230575635197,6.491735918297E-06,,,,
0.9,1.10976174521455,6.47199266731689E-06,,,,
0.905,1.11313869587883,1.14037957889812E-05,,,,
0.91,1.11655446981378,1.16675115746828E-05,,,,
0.915,1.11134934527981,2.70933214141357E-05,,,,
0.92,1.10025791951324,0.000123019725535,,,,
0.925,1.09251213802998,5.99971307864134E-05,,,,
